LDA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93
37,12,2,1,4,7,5,3,1,0,0,0,1,0,0,1,0,0,2,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,1,0,1,1,0,0,1,0,8,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,0,0,3,4,20,1,0,3,2,0,1,2,1,6,1,3,0,1,24,0,1,1,2,1,0,0,2,2,1,0,0,1,0,16,2,0,0,1,0,2,16,2,0,0,1,11,0,0,0,0,0,0,1,0,1,1,8,0,0,1,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,0,1,5,0,0,3,0,0,0,24,0,0,0,0,0,0,0,0,0
39,0,0,1,0,1,0,2,0,1,0,1,1,0,0,1,1,0,2,1,6,1,0,0,5,1,2,0,14,2,0,0,0,0,0,1,0,1,1,0,2,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,5,6,7,3,11,2,1,3,2,4,1,3,2,3,17,5,1,4,0,19,3,1,1,2,1,3,2,0,2,0,0,1,0,2,0,0,0,0,21,1,1,0,0,0,1,0,30,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,0,0,42,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,3,1
41,0,0,2,1,7,2,9,1,1,2,0,1,0,3,0,1,0,8,0,0,19,1,1,3,0,2,0,2,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,1,1,2,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,0,2,0,2,4,1,4,2,4,3,1,2,1,1,2,1,0,2,0,3,1,0,2,1,0,0,0,2,0,0,0,0,0,0,0,159,1,0,2,1,0,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,2,1,0,4,2,4,1,3,0,1,0,8,3,5,3,7,0,0,0,3,0,0,0,1,0,0,1,3,1,0,1,0,0,0,0,1,0,1,0,0,10,5,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
44,0,0,1,0,3,0,0,0,2,13,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,1,0,203,0,0,189,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0
45,41,2,4,0,3,2,0,4,0,3,1,3,2,0,0,0,1,1,0,2,3,1,0,10,1,0,1,5,2,1,1,12,0,1,1,0,1,0,0,0,0,0,0,0,0,9,0,0,0,1,2,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,8,3,4,1,3,17,2,5,0,1,0,8,4,0,4,0,3,4,9,1,0,0,0,5,0,5,1,3,1,0,0,1,0,1,1,0,1,2,4,1,1,0,0,0,1,1,2,2,0,1,0,0,8,0,1,0,0,0,1,0,0,11,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
47,10,2,3,1,5,6,2,3,0,0,0,0,1,2,2,0,1,3,0,0,1,121,2,7,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,5,0,1,0,11,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,3,0,0,1,0,0,12,0,0,0,0,2,0,0,0
48,4,338,0,8,10,17,110,16,0,5,0,5,3,2,4,1,1,2,1,1,0,11,0,5,2,0,3,1,2,0,2,3,0,2,1,0,0,2,3,0,0,0,4,0,0,10,2,1,1,1,1,2,0,0,1,2,1,10,2,2,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,16,1
49,5,18,4,11,3,5,7,14,2,2,9,7,44,2,6,1,64,16,20,4,3,3,0,4,1,2,3,6,1,0,0,2,0,11,4,0,1,1,2,9,1,2,1,4,0,0,4,8,0,2,0,0,0,0,3,3,3,1,33,1,0,2,1,1,1,5,3,3,0,0,1,0,1,44,1,1,0,2,1,7,0,0,0,1,2,4,1,0,0,0,0,0,1,0
50,165,94,3,19,2,123,35,9,4,249,33,3,35,11,5,0,19,2,1,0,2,10,2,0,18,1,24,8,0,0,4,0,0,2,0,0,7,6,1,0,1,3,1,46,33,5,25,0,58,0,0,27,0,0,5,8,2,1,5,0,0,4,0,36,0,0,0,0,0,19,0,0,3,4,0,3,1,0,1,3,0,0,1,0,0,0,0,0,0,0,21,10,1,0
51,2,5,3,12,2,8,2,1,0,0,0,1,2,1,1,1,0,1,0,2,3,0,1,3,0,0,4,0,2,0,6,1,0,1,0,0,0,0,0,0,3,0,0,0,0,2,2,2,0,0,1,0,2,0,0,1,0,2,0,0,0,2,0,1,0,0,1,1,0,1,0,0,2,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0
52,17,4,4,5,5,53,0,2,1,1,0,2,4,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,1,1,0,1,0,0,0,0,0,0,2,0,2,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,20,0
53,3,0,0,2,3,3,6,0,0,13,2,2,2,10,3,0,2,0,0,4,0,0,4,6,1,1,1,0,0,0,5,12,0,2,2,0,0,1,0,0,0,3,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,14,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,1,0,1,0,0,0,2,0,0,0,0,0,0
54,7,2,4,4,8,8,3,54,4,2,11,6,3,10,7,1,1,2,12,0,2,0,1,2,1,3,1,2,2,0,1,2,0,61,3,0,0,19,1,4,2,21,0,7,2,2,0,0,0,0,1,0,1,1,3,0,44,4,2,1,0,6,0,0,0,11,0,2,0,1,3,0,0,0,0,0,1,1,0,2,6,1,0,1,3,0,0,0,0,0,1,0,0,0
55,4,2,2,0,0,4,1,1,0,1,0,2,5,5,1,1,0,3,2,1,0,2,1,3,0,0,87,3,0,0,1,3,0,0,0,0,0,2,0,0,0,0,16,0,1,0,0,2,0,6,0,0,0,0,0,3,0,3,0,0,0,0,0,10,1,0,1,0,0,0,0,0,20,0,1,0,2,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,0
56,2,1,0,2,1,4,1,1,0,0,0,0,2,1,3,2,0,2,0,1,1,1,0,0,0,0,0,2,0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,4,6,8,7,11,3,5,39,1,0,0,6,10,6,4,0,1,14,4,3,5,9,51,7,2,9,1,2,10,0,0,2,1,1,5,0,1,26,27,6,0,1,5,0,2,2,5,0,0,0,7,0,1,0,4,0,0,5,0,3,0,5,0,1,5,0,0,1,0,1,6,0,2,0,4,26,6,0,3,14,1,1,0,0,1,3,0,1,0,0,0,1,0,24
